Date,Content,Coin
2024-01-03 18:57:12.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup   (Spot)

0,55$'dan #ARKM satın aldım.

Hedefim 1$ olacak.

0,50$ altı kapanışta stop olabilirim. Kısa vadeli bakıyorum.",ARKM
2023-12-31 17:29:21.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A**u--D**I++O

Entry: 0,255$

TP:  0,280$ - 0,305$ - 0,330$ - 0,390$  - 0,500$

SL: 0,227$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-12-26 18:30:42.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup   (Spot)

9,6$'dan #APT satın aldım.

Hedeflerim 18$ ve 84$ olacak.",APT
2023-12-26 16:59:10.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A**u--D**I++O

Entry: 0,264$

TP:  0,280$ - 0,305$ - 0,330$ - 0,390$  - 0,500$

SL: 0,250$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-12-22 17:45:47.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#D***G---B

Entry: 0,093$

TP:  0,0102$ - 0,0120$ - 0,0135$ - 0,0160$  - 0,0180$

SL: 0,084$ altı gün kapanışı veya %9-11 auto sl",DGB
2023-11-28 18:17:32.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#W**O--O**

Entry: 0,221$

TP:  0,240$ - 0,256$ - 0,280$ - 0,355$

SL: 0,200$ altı gün kapanışı veya %9-11 auto sl",WOO
2023-11-21 19:55:48.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#A~~D>>U••II==OO

Entry: 0,176$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-18 16:01:41.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#AUDIO

Entry: 0,187$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-14 16:43:24.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#aaaa555uuuuu222DIOOO

Entry: 0,188$

TP: 0211$ - 0,240$ - 0,310$ - 0,420$

SL: 0,160$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-11-09 17:20:22.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#B—A///N::D

Entry: 1,44$

TP: 1,64$ - 1,80$ - 2,25$$ - 3$

SL: 1,35$ altı gün kapanışı veya %9-11 auto sl",BAND
2023-11-05 17:07:46.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#Band

Entry: 1,52$

TP: 1,64$ - 1,80$ - 2,25$$ - 3$

SL: 1,35$ altı gün kapanışı veya %9-11 auto sl",BAND
2023-10-16 19:19:14.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#D---------G........B

Entry: 0,0066$

TP: 0,0074$ - 0,0086$ - 0,0107$ - 0,0134$

SL: 0,0058$ altı gün kapanışı veya %9-11 auto sl",DGB
2023-10-07 20:03:27.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#c.*T,s.I

Entry: 0,127$

TP: 0,137$ - 0,145$ - 0,160$ - 0,220$

SL: 0,112$ altı gün kapanışı veya %9-11 auto sl",CTSI
2023-09-24 16:38:03.000000,"🚨🚨

#TroiaRobot 'dan Yeni Setup

0,80$ civarından sattığım #L-E-B (Tersten yazdım)' 0,57$'dan geri satın aldım.

Hedefim yeniden 0,80$ ve 1,34$ olacak.",BEL
2023-09-16 19:35:21.000000,"🚨🚨

#TroiaRobot Yeni Setup  (Spot)

#AUDIO

Entry: 0,150$

TP: 0,166$ - 0,178$ - 0,200$ - 0,250$

SL: 0,137$ altı gün kapanışı veya %9-11 auto sl",AUDIO
2023-08-20 15:11:18.000000,"🚨🚨

#TroiaRobot 'dan #D *U s- k setup geldi 0,100$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,92$ altı gün kapanışı ve ya -%9/11

Dirençler: 0,110$ - 0,124$ - 0,131$ - 0,176$ - 0,214$

Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",DUSK
2023-07-06 14:16:07.000000,"🚨🚨

#TroiaRobot 'dan #BEL sinyali geldi 0,66$’dan.

Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim 1$ civarı olacak hızlıca.",BEL
2023-06-27 14:25:56.000000,"🚨🚨

#TroiaRobot 'dan #ONT sinyali geldi 0,200'$'dan.

Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %50 - %120 bir kârlılık olacak.",ONT
2023-06-24 15:35:18.000000,"🚨🚨
                                  
#TroiaRobot 'dan #ONT sinyali geldi 0,188$'dan. 0,177$ altı stop şeklinde.                  
                                                          
Hedefler: 0,208$ - 0,229$ - 0,257$ - 0,310$ - 0,450$                                                        
                                                               
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",ONT
2023-06-16 14:16:45.000000,"🚨🚨 #TroiaRobot’dan #OCEAN sinyali geldi 0,3370$’dan.

#OCEAN ALDIM. OCEAN ALDIM.",OCEAN
2023-06-12 20:07:11.000000,"🚨🚨
 
29 Nisan tarihinde 0,210$'dan  
sattığım 
 
 #__🧿A L_ P_🧿H 🧿A' 
 
yı 0,99$'dan yeniden satın aldım.",AR
2023-06-07 16:38:32.000000,"🚨🚨
                            
#TroiaRobot 'dan #S t o R j sinyali geldi 0,28$'dan.   
      
Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %55 - %133 bir kârlılık olacak.",STORJ
2023-06-05 20:46:07.000000,"🚨🚨
                                 
#TroiaRobot 'dan #A L p h a sinyali geldi 0,102$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,94$ altı gün kapanışı ve ya -%9/11                                    
                                                         
Hedefler: 0,110$ - 0,124$ - 0,141$ - 0,184$ - 0,24$                                                       
                                                              
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",ALPHA
2023-06-04 21:08:15.000000,"🚨🚨
                           
#TroiaRobot 'dan #REN sinyali geldi 0,078$'dan.  
     
Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %80 - %164 bir kârlılık olacak.",REN
2023-05-30 20:24:49.000000,"🚨🚨
                         
#TroiaRobot 'dan #CHR sinyali geldi 0,145$'dan. 
   
Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %85 - %220 bir kârlılık olacak.",CHR
2023-05-28 19:41:32.000000,"🚨🚨
                                 
#TroiaRobot 'dan #KN C sinyali geldi 0,63$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 56$ altı gün kapanışı ve ya -%9/11                                    
                                                         
Hedefler: 0,68$ - 0,74$ - 0,82$ - 0,91$ - 1,1$                                                       
                                                              
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",KNC
2023-05-25 20:04:45.000000,"🚨🚨
                          
#TroiaRobot 'dan #M TL sinyali geldi 1$'dan. 
    
Kısa vadeli bir trade, stop noktamı grafikte anlatacağım birazdan. Hedefim yaklaşık %50 - %150 bir kârlılık olacak.",MTL
2023-05-18 19:45:05.000000,"🚨🚨
 
Az önce KNC ve UNFI’yi %50/60 kârlılıkla sattım demiştim.  
 
Onlarla orta vadeli coinim olan #SYN’ye ekleme yapıyorum. 
 
Birazdan grafik geliyor..",SNX
2023-05-15 19:14:47.000000,"🚨🚨
                         
#TroiaRobot'dan Ontology #O NT sinyali geldi. Ben de 0,33$'dan sattıklarımı buradan geri satın aldım. 
 
Birazdan grafik üstünde hedeflerini ve stopunu paylaşacağım.",ONT
2023-05-12 21:37:46.000000,Şurada hedeflerini ve stop şartlarını paylaşmıştım. Buna göre takip edebilirsiniz.. #ALPHA.. 🚨🚨,ALPHA
2023-05-12 21:36:17.000000,"🚨🚨
 
Yeni arkadaşlar, işlem bakan arkadaşlar için #ALPHA işlemimiz hala alım yerinde. #TroiaRobot sinyalidir. 
 
Alım yeri: 0,100$",ALPHA
2023-05-11 18:48:18.000000,"🚨🚨
 
Söz verdiğim gibi #BEL'i 0,60$'a kadar basmayı başardık. Buradan şansımızı deneyeceğiz.                           
                                
#TroiaRobot 'dan #BEL sinyali geldi 0,60$'dan. Spot alıma uygundur. Stop: 0,52$ altı gün kapanışı ve ya -%9/11                                   
                                                        
Hedefler: 0,66$ - 0,72$ - 0,91$ - 1,2$ - 3,5$                                                      
                                                             
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",BEL
2023-04-29 19:55:31.000000,"🚨🚨
                                 
#TroiaRobot 'dan #RL C sinyali geldi 1,64$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 1,47$ altı gün kapanışı ve ya -%9/11                                    
                                                         
Hedefler: 1,74$ - 1,88$ - 2$ - 2,6$ - 3,4$                                                       
                                                              
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",RLC
2023-04-27 19:37:06.000000,"🚨🚨
                                
#TroiaRobot 'dan #ALP H A sinyali geldi 0,110$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,96$ altı gün kapanışı ve ya -%9/11                                   
                                                        
Hedefler: 0,122$ - 0,140$ - 0,182$ - 0,240$ - 0,320$                                                      
                                                             
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",ALPHA
2023-04-23 14:49:38.000000,"🚨🚨
                               
#TroiaRobot 'dan #OCEAN sinyali geldi 0,37$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,335$ altı gün kapanışı ve ya -%9/11                                  
                                                       
Hedefler: 0,39$ - 0,44$ - 0,52$ - 1$ - 1,5$                                                     
                                                            
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",OCEAN
2023-04-22 18:39:54.000000,"🚨🚨
                              
#TroiaRobot 'dan #BE L sinyali geldi 0,66$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,60$ altı gün kapanışı ve ya -%9/11                                 
                                                      
Hedefler: 0,72$ - 0,80$ - 0,91$ - 1,2$ - 3,5$                                                    
                                                           
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",BEL
2023-04-19 19:30:45.000000,"🚨🚨
                               
#TroiaRobot 'dan #ALPH A sinyali geldi 0,116$'dan. Yine desteği yakın olduğu için paylaşıyorum. Stop: 0,109$ altı gün kapanışı veya -%11                                   
                                                       
Hedefler: 0,122$ - 0,140$ - 0,164$ - 0,184$ - 0,240$                                                     
                                                            
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",ALPHA
2023-04-19 17:36:53.000000,"🚨🚨

Bana en çok sorulan soru; hocam #AUDIO'yu sattınız mı?

Hayır arkadaşlar ana paramı çektim, içeride kârların tamamı 3x hedefli duruyor.

Hedef 0,67$",AUDIO
2023-04-14 18:07:28.000000,"🚨🚨
                              
#TroiaRobot 'dan #BE L sinyali geldi 0,72$'dan. Stop: 0,60$ altı gün kapanışı. O yüzden 0,62$ civarı bir emir daha girilebilir. Yarım R yarım R gibi.                                      
                                                      
Hedefler: 0,77$ - 0,84$ - 0,91$ - 1,4$ - 3,5$                                                    
                                                           
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",BEL
2023-04-06 19:30:10.000000,"🚨🚨
                     
#TroiaRobot 'dan #AUDIO sinyali geldi 0,29$'dan. 
        
Yine desteği yakın olduğu için paylaşıyorum. (Stop: %9/11) Veya 0,25$ altı gün kapanışı.",AUDIO
2023-04-05 09:55:01.000000,"🚨🚨
                            
#TroiaRobot 'dan #OMG sinyali geldi 1,55$'dan. Yine desteği yakın olduğu için paylaşıyorum. (Stop %6-7)                                           
                                                    
Hedefler: 1,62$ - 1,71$ - 1,80$ - 2$ - 3,2$                                                  
                                                         
Unutmayın Robot haber takibi yapamaz duyguları yoktur, o sebeple kazanç garantisi yoktur. Stop riski her zaman her yerde vardır.1",OMG
